Sr_No	Full_Name	Country	Player_Role	Batting_Style	Bowling_Style	Base_Price
880	Nathan Edward	West Indies	All Rounder	Left Hand Bat	Left-Arm Fast	6000000
881	Obed Mccoy	West Indies	Bowler	Left Hand Bat	Left-Arm Medium	6000000
882	Oshane Thomas	West Indies	Batter	Right Hand Bat	Right-Arm Fast	6000000
883	Quentin Sampson	West Indies	All Rounder	Right Hand Bat	Right-Arm Medium Fast	6000000
884	Ramon Simmonds	West Indies	Bowler	Left Hand Bat	Left-Arm Medium Fast	6000000
885	Raymon Reifer	West Indies	All Rounder	Left Hand Bat	Left-Arm Fast	6000000
886	Ronsford Beaton	West Indies	Batter	Right Hand Bat	Right-Arm Medium	6000000
887	Ryshon Williams	West Indies	All Rounder	Right Hand Bat	Slow left-arm orthodox	6000000
888	Shadrack Descarte	West Indies	All Rounder	Left Hand Bat	Right-Arm Medium Fast	6000000
889	Shamar Springer	West Indies	All Rounder	Right Hand Bat	Right-Arm Fast	6000000
890	Shamarh Brooks	West Indies	Batter	Right Hand Bat	Right-Arm Offspin	6000000
891	Shaqkere Parris	West Indies	Batter	Right Hand Bat	Right-Arm Medium	6000000
892	Sheldon Cottrell	West Indies	Bowler	Right Hand Bat	Left-Arm Fast	6000000
893	Terrance Hinds	West Indies	Bowler	Right Hand Bat	Right-Arm Medium Fast	6000000
894	Yannic Cariah	West Indies	All Rounder	Left Hand Bat	Right-Arm Legspin	6000000
895	Brad Evans	Zimbabwe	All Rounder	Right Hand Bat	Right-Arm Fast	6000000
896	Brian Bennett	Zimbabwe	All Rounder	Right Hand Bat	Right-Arm Offspin	6000000
897	Craig Ervine	Zimbabwe	Batter	Left Hand Bat	Right-Arm Offspin	6000000
898	Dion Myers	Zimbabwe	Batter	Right Hand Bat	Right-Arm Medium	6000000
899	Faraz Akram	Zimbabwe	All Rounder	Left Hand Bat	Right-Arm Medium	6000000
900	Nick Welch	Zimbabwe	Batter	Right Hand Bat	Right-Arm Legspin	6000000
901	Richard Ngarava	Zimbabwe	Bowler	Left Hand Bat	Left-Arm Medium Fast	6000000
902	Sean Williams	Zimbabwe	All Rounder	Left Hand Bat	Slow left-arm orthodox	6000000
903	Tinotenda Maposa Maposa	Zimbabwe	All Rounder	Right Hand Bat	Right-Arm Fast	6000000
